Event                           , Max. Rating , Experience Level , Fee (Inc. GST)
Open Singles                    , ∞           , Elite            ,
Division 1 Singles              ,             , Advance          ,
Division 2 Singles              ,             , Intermediate     ,
Division 3 Singles              ,             , Amateur          ,
Division 4 Singles              ,             , Beginner         ,
Division 5 Singles              ,             , Casual           ,
Open Doubles                    , ∞           , Elite            ,
Division 1 & 2 Doubles          ,             , Advance          ,
Division 3 Doubles              ,             , Amateur          ,
Division 4 & 5 Doubles          ,             , Beginner         ,
